% min: [7.232822, 9.483873, 1.00919, 0.448446, 0.451633, 0.854304, 9.635544, 6.669126] 
% max: [383.032661, 316.851432, 170.252791, 75.799328, 74.505034, 167.726755, 329.469749, 335.216314] 
% i/o: [8, 5] 
@relation 'data10000'
@attribute FD1 numeric
@attribute FD2 numeric
@attribute FD3 numeric
@attribute FD4 numeric
@attribute FD5 numeric
@attribute FD6 numeric
@attribute FD7 numeric
@attribute FD8 numeric
@attribute State {1,2,3,4,5}

@data
38.483117,37.433738,11.643911,6.932107,6.910976,10.981446,37.047345,38.742618,3
38.815495,37.146262,11.466396,6.499358,6.673192,10.659241,36.765070,39.043012,3
39.195602,35.630906,11.277560,6.789509,6.821326,11.149390,34.872225,39.428086,3
39.493238,35.820100,11.873176,7.116736,7.171453,12.304737,34.969953,38.929154,3
38.941971,36.164522,12.682965,6.794376,6.879859,12.168300,35.286265,38.499223,3
39.949190,36.623498,13.423092,7.196354,6.835982,12.340254,36.128272,40.207918,3
40.612480,35.978667,12.876091,7.465774,7.216694,11.728813,36.270194,40.836343,3
39.852792,38.654322,11.745694,6.160074,6.272191,10.808164,38.125916,40.818985,3
39.188994,37.938043,11.726553,8.535396,8.640090,11.929862,36.555540,40.427941,3
39.160880,38.324425,13.133937,6.504330,6.552336,13.012295,36.924008,40.764141,3
43.486744,38.792234,10.796556,6.024176,5.932574,9.964643,39.257134,42.935183,3
45.427677,38.864289,12.116758,7.499858,7.145732,11.270713,39.019158,44.910731,3
46.039869,39.310738,14.678976,5.951394,6.095596,13.659554,39.325188,45.596808,3
43.495789,39.845848,13.903769,6.387025,6.370103,13.742390,39.991462,42.706240,3
44.217321,41.884554,11.876721,6.913597,6.962116,11.805582,40.893435,45.325030,3
45.888839,39.895324,13.436642,6.860582,6.964231,12.215101,39.952589,46.961214,3
43.281494,39.388401,13.827670,8.240523,7.825594,12.716626,40.488008,43.097057,3
42.322937,40.346861,14.182723,6.323238,6.153914,13.364773,41.034627,42.481490,3
41.815982,38.648286,11.000745,7.201631,7.143595,10.836635,38.754079,41.850111,3
42.517580,37.433347,12.424815,6.015551,5.986434,12.039098,37.305919,42.954128,3
41.401380,38.677532,13.293917,6.106493,6.084650,12.220918,39.189472,41.079822,3
42.036996,40.326586,12.846269,5.896037,5.785764,11.906836,40.576556,41.709095,3
42.529836,39.672077,13.219103,5.935688,6.024416,12.636582,39.454078,41.973036,3
42.097729,39.977230,12.236587,7.881049,7.964084,12.381414,39.054854,41.817307,3
42.369101,40.322356,11.826777,5.950247,5.813496,11.796506,39.280925,42.038799,3
